Detector+Descriptor,UIF-UB (Homography),PMR,Inlier Ratio,M-Coverage Fraction,M-Score
fast_openucn,0.99,1.00,0.32,0.70,0.27
fast_hardnet,0.98,0.66,0.69,0.72,0.41
contextdesc,0.98,0.65,0.58,0.62,0.33
harris_hardnet,0.97,0.60,0.52,0.75,0.34
surf_hardnet,0.97,0.61,0.57,0.65,0.32
fast_convopt,0.97,0.64,0.63,0.69,0.37
r2d2,0.97,0.59,0.57,0.78,0.36
dog_openucn,0.97,1.00,0.37,0.60,0.31
harrisnet_hardnet,0.96,0.66,0.57,0.67,0.38
harris_openucn,0.96,1.00,0.22,0.73,0.22
surf_openucn,0.96,1.00,0.29,0.62,0.26
fast_rootsift,0.96,0.60,0.62,0.66,0.35
fast_siftnet,0.96,0.64,0.54,0.66,0.32
d2net,0.96,0.61,0.42,0.69,0.26
dog_hardnet,0.96,0.56,0.59,0.60,0.29
keynet_hardnet,0.95,0.57,0.58,0.62,0.34
lfnet,0.95,0.51,0.40,0.61,0.23
harris_rootsift,0.95,0.59,0.38,0.69,0.25
surf_convopt,0.95,0.59,0.50,0.63,0.29
harris_convopt,0.94,0.57,0.33,0.67,0.21
brisk,0.94,0.66,0.44,0.52,0.24
harris_siftnet,0.94,0.52,0.40,0.67,0.23
dog_convopt,0.94,0.56,0.50,0.57,0.25
dog_rootsift,0.93,0.55,0.53,0.57,0.26
glampoints_hardnet,0.92,0.66,0.55,0.62,0.38
keynet_openucn,0.92,1.00,0.29,0.57,0.28
surf_siftnet,0.91,0.59,0.43,0.58,0.24
harrisnet_rootsift,0.90,0.63,0.45,0.59,0.30
dog_siftnet,0.90,0.53,0.47,0.53,0.22
harrisnet_siftnet,0.90,0.61,0.45,0.59,0.29
glampoints_convopt,0.89,0.67,0.53,0.60,0.38
harrisnet_openucn,0.89,1.00,0.24,0.57,0.23
surf_rootsift,0.89,0.54,0.42,0.56,0.24
glampoints_rootsift,0.88,0.66,0.52,0.60,0.38
keynet_siftnet,0.87,0.55,0.45,0.53,0.26
harrisnet_convopt,0.87,0.61,0.39,0.55,0.25
orb,0.85,0.46,0.52,0.29,0.25
sift,0.85,0.26,0.85,0.47,0.21
keynet_rootsift,0.85,0.59,0.36,0.49,0.22
harris_tfeat,0.84,0.22,0.72,0.53,0.18
harris_sift,0.83,0.17,0.69,0.53,0.14
harris_siftpca,0.83,0.17,0.68,0.52,0.14
keynet_convopt,0.82,0.59,0.31,0.46,0.19
harrisnet_tfeat,0.81,0.32,0.75,0.50,0.26
glampoints_siftnet,0.80,0.62,0.45,0.53,0.30
superpoint,0.80,0.75,0.61,0.46,0.43
glampoints_openucn,0.79,1.00,0.28,0.52,0.28
mser_openucn,0.79,1.00,0.33,0.27,0.26
dog_sift,0.79,0.21,0.71,0.43,0.15
dog_siftpca,0.78,0.21,0.71,0.43,0.14
surf_surf,0.77,0.18,0.71,0.44,0.13
surf_tfeat,0.77,0.23,0.66,0.45,0.16
glampoints_tfeat,0.76,0.36,0.75,0.48,0.30
fast_surf,0.75,0.14,0.63,0.43,0.10
harrislaplace_hardnet,0.75,0.54,0.39,0.35,0.19
harrisnet_sift,0.72,0.22,0.71,0.44,0.19
harrisnet_siftpca,0.72,0.22,0.70,0.44,0.19
dog_tfeat,0.71,0.21,0.63,0.39,0.13
mser_convopt,0.70,0.38,0.51,0.28,0.16
fast_tfeat,0.69,0.18,0.68,0.38,0.13
mser_hardnet,0.69,0.37,0.52,0.28,0.16
glampoints_sift,0.68,0.32,0.75,0.43,0.27
glampoints_siftpca,0.67,0.32,0.75,0.42,0.27
keynet_tfeat,0.66,0.18,0.64,0.37,0.14
mser_rootsift,0.66,0.34,0.51,0.26,0.15
fast_siftpca,0.66,0.15,0.72,0.36,0.12
fast_sift,0.66,0.15,0.72,0.36,0.12
harrislaplace_openucn,0.66,0.99,0.19,0.31,0.15
harrislaplace_convopt,0.66,0.55,0.32,0.31,0.16
harrislaplace_siftnet,0.64,0.57,0.31,0.30,0.15
harrislaplace_rootsift,0.62,0.49,0.31,0.30,0.15
keynet_sift,0.61,0.16,0.54,0.33,0.12
keynet_siftpca,0.61,0.16,0.53,0.33,0.12
brief,0.54,0.71,0.48,0.18,0.28
surf_siftpca,0.52,0.14,0.59,0.30,0.10
mser_siftnet,0.52,0.28,0.43,0.24,0.10
surf_sift,0.52,0.14,0.60,0.30,0.10
dog_surf,0.52,0.11,0.47,0.28,0.05
glampoints_surf,0.51,0.17,0.64,0.31,0.14
harrislaplace_tfeat,0.41,0.15,0.42,0.19,0.08
harris_surf,0.39,0.10,0.23,0.26,0.04
lift,0.37,0.56,0.26,0.20,0.15
harrislaplace_siftpca,0.35,0.12,0.39,0.17,0.07
harrislaplace_sift,0.34,0.12,0.40,0.16,0.07
harrislaplace_surf,0.32,0.11,0.39,0.15,0.06
harrisnet_surf,0.23,0.10,0.27,0.16,0.04
keynet_surf,0.21,0.27,0.10,0.13,0.03
mser_surf,0.21,0.10,0.47,0.10,0.04
mser_tfeat,0.10,0.09,0.36,0.08,0.03
mser_siftpca,0.09,0.07,0.34,0.07,0.02
mser_sift,0.09,0.07,0.34,0.07,0.02
kaze,0.00,0.36,0.01,0.02,0.00