Detector,Rep@150 - V,Rep@150 - I,Rep@300 - V,Rep@300 - I,Rep@600 - V,Rep@600 - I,Rep@1200 - V,Rep@1200 - I,Rep@2400 - V,Rep@2400 - I
BRIEF,0.35,0.42,0.34,0.42,0.34,0.42,0.34,0.42,0.34,0.42
BRISK,0.48,0.49,0.51,0.53,0.54,0.55,0.56,0.56,0.57,0.57
ContextDesc,0.36,0.37,0.40,0.38,0.44,0.39,0.46,0.40,0.46,0.40
D2-Net,0.22,0.38,0.24,0.39,0.28,0.40,0.30,0.41,0.30,0.41
DoG,0.43,0.40,0.45,0.41,0.47,0.42,0.47,0.43,0.48,0.43
FAST,0.53,0.52,0.57,0.57,0.60,0.60,0.63,0.63,0.65,0.64
GLAMPoints,0.39,0.51,0.43,0.52,0.43,0.53,0.43,0.54,0.43,0.54
Harris,0.58,0.54,0.61,0.58,0.63,0.58,0.62,0.59,0.60,0.59
Harris-Laplace,0.03,0.42,0.05,0.45,0.08,0.46,0.09,0.47,0.10,0.47
HarrisNet,0.55,0.55,0.56,0.55,0.54,0.55,0.54,0.56,0.54,0.55
KAZE,0.48,0.49,0.51,0.51,0.54,0.51,0.55,0.52,0.55,0.52
Key.Net,0.53,0.54,0.54,0.55,0.53,0.56,0.53,0.56,0.53,0.56
LF-Net,0.17,0.55,0.29,0.56,0.40,0.56,0.45,0.57,0.46,0.58
LIFT,0.16,0.33,0.17,0.34,0.17,0.35,0.17,0.35,0.17,0.35
MSER,0.33,0.34,0.35,0.35,0.36,0.36,0.36,0.36,0.37,0.36
ORB,0.45,0.48,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
R2D2,0.09,0.20,0.15,0.29,0.26,0.39,0.39,0.48,0.51,0.52
SuperPoint,0.38,0.57,0.41,0.59,0.42,0.59,0.42,0.59,0.42,0.59
SURF,0.42,0.48,0.44,0.49,0.45,0.50,0.45,0.50,0.45,0.50