Verifier,Detector+Descriptor,UIF-UB (Essential Mat),UIF-UB (Fundamental Matrix)
oanet,dog_convopt,42.22%,39.17%
oanet,dog_rootsift,41.67%,39.44%
oanet,dog_openucn,32.78%,32.78%
oanet,dog_siftnet,28.61%,25.28%
oanet,keynet_siftnet,26.48%,16.62%
oanet,harrisnet_rootsift,25.83%,16.67%
oanet,brisk,25.56%,23.06%
oanet,keynet_hardnet,25.63%,18.59%
lmeds,sift,24.44%,19.72%
oanet,dog_hardnet,23.89%,22.50%
oanet,fast_siftnet,23.33%,23.33%
oanet,contextdesc,22.78%,21.11%
oanet,surf_siftnet,22.50%,21.94%
oanet,harrisnet_siftnet,21.94%,14.72%
oanet,harris_siftnet,20.56%,20.56%
oanet,harrisnet_convopt,20.28%,11.67%
oanet,orb,20.00%,9.17%
oanet,surf_hardnet,19.44%,17.50%
oanet,harrisnet_hardnet,19.44%,14.44%
oanet,keynet_rootsift,18.89%,10.83%
oanet,keynet_openucn,18.33%,15.83%
oanet,harris_rootsift,18.33%,18.33%
oanet,harris_convopt,15.00%,15.00%
ransac,sift,14.44%,10.83%
oanet,fast_openucn,14.44%,14.44%
oanet,keynet_convopt,14.37%,6.76%
oanet,lfnet,14.17%,13.33%
oanet,harrisnet_openucn,14.17%,10.56%
oanet,harris_hardnet,13.06%,13.06%
oanet,fast_hardnet,12.50%,12.22%
oanet,r2d2,12.22%,12.22%
oanet,surf_openucn,11.94%,11.94%
ngransac,sift,11.11%,3.89%
lmeds,dog_sift,10.83%,7.50%
oanet,fast_convopt,10.83%,10.83%
oanet,surf_convopt,10.28%,9.17%
oanet,harris_siftpca,10.00%,4.44%
oanet,harris_sift,10.00%,2.78%
lmeds,dog_siftpca,9.44%,6.67%
oanet,sift,7.78%,2.50%
ngransac,fast_hardnet,7.50%,5.00%
oanet,dog_siftpca,7.22%,2.78%
lmeds,harris_sift,7.22%,5.83%
oanet,dog_sift,6.67%,3.89%
lmeds,harrisnet_tfeat,6.39%,5.00%
oanet,mser_openucn,6.39%,3.89%
lmeds,fast_siftpca,6.11%,3.61%
lmeds,harris_siftpca,5.83%,4.72%
ngransac,fast_convopt,5.56%,4.44%
lmeds,fast_sift,5.28%,3.33%
lmeds,harrisnet_sift,5.28%,3.61%
lmeds,harris_tfeat,4.72%,3.06%
lmeds,harrisnet_siftpca,4.17%,2.22%
lmeds,surf_surf,4.17%,2.78%
oanet,superpoint,3.89%,0.00%
eigfree,dog_rootsift,3.89%,3.33%
eigfree,surf_openucn,3.89%,3.61%
eigfree,surf_convopt,3.89%,3.61%
learned_corr,dog_hardnet,3.89%,3.61%
learned_corr,harrisnet_hardnet,3.89%,3.06%
n3net,surf_convopt,3.89%,3.33%
learned_corr,surf_convopt,3.89%,3.89%
learned_corr,surf_rootsift,3.89%,3.61%
eigfree,dog_hardnet,3.89%,3.61%
eigfree,dog_openucn,3.89%,3.89%
learned_corr,contextdesc,3.89%,3.61%
oanet,surf_rootsift,3.89%,3.61%
eigfree,fast_hardnet,3.89%,3.89%
eigfree,fast_convopt,3.61%,3.61%
learned_corr,harrisnet_openucn,3.61%,2.78%
learned_corr,d2net,3.61%,3.61%
eigfree,harris_openucn,3.61%,3.61%
learned_corr,dog_convopt,3.61%,3.33%
eigfree,harris_hardnet,3.61%,3.33%
learned_corr,dog_rootsift,3.61%,3.33%
learned_corr,dog_siftnet,3.61%,3.61%
learned_corr,fast_rootsift,3.61%,3.61%
n3net,harrisnet_openucn,3.61%,1.94%
learned_corr,harris_hardnet,3.61%,3.61%
eigfree,fast_siftnet,3.61%,3.61%
eigfree,fast_rootsift,3.61%,3.61%
learned_corr,harrisnet_siftnet,3.61%,2.22%
lmeds,dog_tfeat,3.61%,2.22%
learned_corr,keynet_hardnet,3.66%,3.10%
learned_corr,keynet_openucn,3.61%,3.61%
n3net,fast_rootsift,3.61%,3.61%
n3net,d2net,3.61%,3.33%
learned_corr,r2d2,3.61%,3.61%
eigfree,fast_openucn,3.61%,3.61%
learned_corr,surf_hardnet,3.61%,3.61%
eigfree,surf_siftnet,3.61%,3.33%
learned_corr,surf_siftnet,3.61%,3.61%
eigfree,brisk,3.61%,3.33%
eigfree,d2net,3.61%,3.06%
eigfree,dog_convopt,3.61%,3.06%
learned_corr,surf_openucn,3.61%,3.61%
n3net,harris_hardnet,3.61%,3.33%
eigfree,contextdesc,3.61%,3.61%
eigfree,r2d2,3.61%,3.61%
eigfree,harrisnet_hardnet,3.61%,1.67%
n3net,surf_siftnet,3.61%,3.33%
ngransac,fast_rootsift,3.61%,2.78%
eigfree,harrisnet_siftnet,3.61%,1.39%
eigfree,lfnet,3.61%,3.33%
n3net,r2d2,3.61%,3.61%
n3net,lfnet,3.33%,3.33%
learned_corr,keynet_convopt,3.38%,1.13%
learned_corr,keynet_siftnet,3.38%,1.97%
n3net,fast_siftnet,3.33%,3.33%
learned_corr,keynet_rootsift,3.33%,1.67%
n3net,surf_rootsift,3.33%,3.33%
n3net,surf_openucn,3.33%,3.33%
ransac,harris_sift,3.33%,2.22%
n3net,fast_convopt,3.33%,3.33%
learned_corr,harrisnet_rootsift,3.33%,2.22%
n3net,surf_hardnet,3.33%,3.06%
ransac,harrisnet_tfeat,3.33%,1.67%
eigfree,harris_siftnet,3.33%,3.33%
n3net,harris_rootsift,3.33%,3.33%
n3net,fast_hardnet,3.33%,3.06%
n3net,dog_openucn,3.33%,3.33%
n3net,dog_siftnet,3.33%,3.33%
n3net,dog_rootsift,3.33%,3.33%
learned_corr,harris_rootsift,3.33%,3.33%
n3net,dog_hardnet,3.33%,3.33%
n3net,dog_convopt,3.33%,3.33%
n3net,contextdesc,3.33%,3.33%
ngransac,dog_hardnet,3.33%,1.39%
eigfree,keynet_openucn,3.33%,3.06%
eigfree,dog_siftnet,3.33%,3.06%
ngransac,dog_sift,3.33%,0.56%
eigfree,harris_convopt,3.33%,3.33%
oanet,surf_surf,3.33%,0.56%
eigfree,harrisnet_rootsift,3.33%,1.39%
eigfree,harrisnet_openucn,3.33%,1.94%
eigfree,harris_rootsift,3.33%,3.06%
n3net,harris_siftnet,3.33%,3.06%
learned_corr,lfnet,3.33%,3.33%
learned_corr,harris_convopt,3.33%,3.33%
learned_corr,brisk,3.33%,3.33%
learned_corr,fast_openucn,3.33%,3.33%
learned_corr,fast_hardnet,3.33%,3.33%
learned_corr,fast_convopt,3.33%,3.33%
eigfree,surf_hardnet,3.33%,3.33%
learned_corr,fast_siftnet,3.33%,3.33%
n3net,harrisnet_hardnet,3.33%,2.50%
learned_corr,dog_openucn,3.33%,3.33%
learned_corr,harris_openucn,3.33%,3.33%
eigfree,keynet_hardnet,3.10%,2.25%
n3net,harrisnet_siftnet,3.06%,1.39%
learned_corr,harris_siftnet,3.06%,3.06%
n3net,keynet_hardnet,3.10%,2.82%
n3net,brisk,3.06%,3.06%
ngransac,dog_siftpca,3.06%,0.28%
eigfree,surf_rootsift,3.06%,1.94%
oanet,harris_openucn,3.06%,3.06%
learned_corr,harrislaplace_openucn,3.06%,2.78%
learned_corr,harrisnet_convopt,3.06%,1.11%
n3net,keynet_openucn,3.06%,3.06%
n3net,harris_convopt,3.06%,3.06%
learned_corr,harrislaplace_hardnet,3.06%,1.39%
n3net,harris_openucn,3.06%,3.06%
eigfree,keynet_convopt,3.10%,1.13%
ransac,fast_sift,2.78%,1.39%
eigfree,harrislaplace_hardnet,2.78%,1.39%
eigfree,keynet_rootsift,2.78%,1.39%
eigfree,harrislaplace_openucn,2.78%,1.11%
learned_corr,harrislaplace_rootsift,2.78%,1.39%
learned_corr,harrislaplace_convopt,2.78%,1.39%
n3net,keynet_rootsift,2.78%,1.11%
n3net,keynet_siftnet,2.82%,1.41%
learned_corr,mser_openucn,2.50%,1.39%
ngransac,contextdesc,2.50%,0.83%
ransac,fast_siftpca,2.50%,1.11%
eigfree,keynet_siftnet,2.54%,1.69%
n3net,keynet_convopt,2.54%,0.56%
n3net,harrisnet_rootsift,2.50%,1.39%
n3net,fast_openucn,2.50%,2.50%
eigfree,mser_openucn,2.50%,1.39%
eigfree,glampoints_openucn,2.50%,0.28%
ransac,harrisnet_siftpca,2.50%,2.22%
eigfree,harrislaplace_convopt,2.50%,1.11%
learned_corr,harrislaplace_siftnet,2.50%,1.39%
eigfree,harrisnet_convopt,2.50%,1.11%
ransac,harrisnet_sift,2.50%,1.39%
oanet,fast_rootsift,2.22%,2.22%
learned_corr,surf_brief,2.22%,0.83%
ransac,dog_sift,2.22%,1.67%
n3net,mser_openucn,2.22%,1.11%
ngransac,harris_sift,2.22%,0.56%
n3net,harrislaplace_hardnet,2.22%,0.83%
learned_corr,glampoints_rootsift,2.22%,0.56%
ngransac,fast_surf,2.22%,0.83%
ransac,harris_tfeat,2.22%,0.56%
learned_corr,orb,2.22%,1.11%
learned_corr,glampoints_openucn,2.22%,0.83%
ngransac,harris_siftpca,2.22%,0.28%
eigfree,harrislaplace_rootsift,1.94%,0.83%
learned_corr,glampoints_convopt,1.94%,0.56%
ngransac,fast_siftnet,1.94%,1.67%
ransac,harris_siftpca,1.94%,1.67%
learned_corr,dog_brief,1.94%,0.00%
n3net,glampoints_rootsift,1.94%,0.28%
eigfree,fast_brief,1.94%,0.56%
learned_corr,glampoints_hardnet,1.94%,0.56%
n3net,fast_brief,1.94%,1.11%
ransac,dog_siftpca,1.94%,1.11%
n3net,harrislaplace_openucn,1.94%,0.83%
oanet,mser_convopt,1.94%,0.56%
learned_corr,fast_brief,1.94%,1.67%
oanet,brief,1.94%,0.28%
learned_corr,harris_brief,1.94%,1.11%
ngransac,dog_rootsift,1.94%,1.11%
oanet,mser_hardnet,1.94%,0.56%
ngransac,dog_convopt,1.94%,0.83%
n3net,harrisnet_convopt,1.94%,0.83%
n3net,harrislaplace_rootsift,1.67%,1.11%
lmeds,keynet_tfeat,1.71%,0.57%
lmeds,surf_tfeat,1.67%,0.83%
n3net,glampoints_openucn,1.67%,0.28%
ngransac,fast_siftpca,1.67%,0.28%
eigfree,orb,1.67%,0.28%
n3net,orb,1.67%,0.83%
eigfree,harrislaplace_siftnet,1.67%,0.28%
ngransac,fast_sift,1.67%,0.28%
oanet,harrisnet_siftpca,1.39%,0.00%
oanet,harris_tfeat,1.39%,1.11%
ngransac,dog_siftnet,1.39%,0.28%
n3net,harrislaplace_siftnet,1.39%,0.56%
ngransac,surf_hardnet,1.39%,0.00%
learned_corr,sift,1.39%,0.28%
ransac,surf_surf,1.39%,1.11%
oanet,mser_rootsift,1.39%,0.56%
eigfree,glampoints_hardnet,1.39%,0.00%
n3net,glampoints_convopt,1.39%,0.28%
n3net,glampoints_hardnet,1.39%,0.28%
ngransac,dog_openucn,1.11%,0.83%
n3net,superpoint,1.11%,0.00%
n3net,harrislaplace_convopt,1.11%,0.56%
learned_corr,superpoint,1.11%,0.00%
oanet,surf_tfeat,1.11%,0.28%
learned_corr,mser_convopt,1.11%,0.28%
eigfree,glampoints_convopt,1.11%,0.00%
eigfree,harris_brief,0.83%,0.28%
lmeds,surf_sift,0.83%,0.00%
oanet,harrisnet_sift,0.83%,0.28%
oanet,fast_sift,0.83%,0.00%
n3net,harris_sift,0.83%,0.28%
n3net,harris_siftpca,0.83%,0.28%
oanet,fast_siftpca,0.83%,0.56%
eigfree,glampoints_siftnet,0.83%,0.28%
ransac,surf_tfeat,0.83%,0.83%
lmeds,dog_hardnet,0.83%,0.83%
learned_corr,glampoints_siftnet,0.83%,0.28%
learned_corr,harris_sift,0.83%,0.28%
ransac,dog_tfeat,0.83%,0.00%
learned_corr,dog_sift,0.83%,0.28%
learned_corr,harris_siftpca,0.83%,0.56%
learned_corr,harris_tfeat,0.83%,0.00%
oanet,dog_tfeat,0.56%,0.00%
ransac,surf_sift,0.56%,0.28%
eigfree,harris_siftpca,0.56%,0.28%
ngransac,harris_siftnet,0.56%,0.00%
oanet,dog_surf,0.56%,0.00%
ngransac,harris_rootsift,0.56%,0.28%
learned_corr,dog_siftpca,0.56%,0.28%
ngransac,harris_hardnet,0.56%,0.28%
n3net,mser_convopt,0.56%,0.00%
learned_corr,mser_rootsift,0.56%,0.00%
oanet,d2net,0.56%,0.28%
ransac,surf_siftpca,0.56%,0.00%
n3net,sift,0.56%,0.28%
n3net,harris_tfeat,0.56%,0.00%
learned_corr,surf_surf,0.56%,0.56%
n3net,harris_brief,0.56%,0.00%
n3net,glampoints_siftnet,0.56%,0.28%
eigfree,harris_sift,0.56%,0.28%
ngransac,lfnet,0.56%,0.00%
ngransac,keynet_hardnet,0.56%,0.00%
n3net,dog_siftpca,0.56%,0.28%
learned_corr,mser_hardnet,0.56%,0.28%
n3net,dog_sift,0.56%,0.28%
lmeds,surf_siftpca,0.56%,0.00%
learned_corr,mser_siftnet,0.56%,0.00%
lmeds,keynet_sift,0.56%,0.00%
lmeds,keynet_siftpca,0.56%,0.00%
lmeds,mser_rootsift,0.56%,0.56%
n3net,surf_surf,0.56%,0.00%
oanet,lift,0.56%,0.00%
oanet,mser_siftnet,0.56%,0.28%
oanet,glampoints_tfeat,0.28%,0.00%
ransac,dog_surf,0.28%,0.00%
ransac,keynet_tfeat,0.29%,0.29%
mlesac,fast_rootsift,0.28%,0.00%
eigfree,surf_surf,0.28%,0.00%
ransac,harrisnet_rootsift,0.28%,0.28%
lmeds,mser_hardnet,0.28%,0.28%
lmeds,mser_convopt,0.28%,0.28%
lmeds,dog_convopt,0.28%,0.28%
ngransac,harris_tfeat,0.28%,0.00%
ngransac,brisk,0.28%,0.00%
learned_corr,fast_sift,0.28%,0.00%
lmeds,dog_rootsift,0.28%,0.28%
eigfree,dog_siftpca,0.28%,0.00%
oanet,glampoints_hardnet,0.28%,0.00%
oanet,glampoints_convopt,0.28%,0.00%
lmeds,harris_siftnet,0.28%,0.28%
ransac,fast_hardnet,0.28%,0.28%
lmeds,fast_convopt,0.28%,0.28%
lmeds,dog_surf,0.28%,0.00%
lmeds,dog_siftnet,0.28%,0.28%
mlesac,fast_convopt,0.28%,0.00%
eigfree,mser_convopt,0.28%,0.00%
oanet,harrislaplace_hardnet,0.28%,0.28%
n3net,surf_brief,0.28%,0.00%
lmeds,surf_hardnet,0.28%,0.28%
lmeds,keynet_hardnet,0.28%,0.28%
eigfree,glampoints_rootsift,0.28%,0.00%
ransac,superpoint,0.28%,0.00%
eigfree,sift,0.28%,0.28%
eigfree,mser_hardnet,0.28%,0.00%
eigfree,superpoint,0.28%,0.00%
lmeds,superpoint,0.28%,0.00%
lmeds,glampoints_sift,0.28%,0.28%
ngransac,surf_siftnet,0.28%,0.00%
learned_corr,harrislaplace_brief,0.28%,0.00%
ngransac,harrisnet_siftpca,0.28%,0.00%
n3net,mser_siftnet,0.28%,0.00%
n3net,mser_rootsift,0.28%,0.00%
eigfree,surf_brief,0.28%,0.28%
n3net,mser_hardnet,0.28%,0.28%
ngransac,surf_tfeat,0.28%,0.00%
lmeds,contextdesc,0.28%,0.28%
lmeds,orb,0.28%,0.28%
ransac,mser_convopt,0.28%,0.28%
ransac,keynet_surf,0.00%,0.00%
ransac,keynet_siftpca,0.00%,0.00%
ngransac,harrislaplace_siftnet,0.00%,0.00%
ngransac,harrislaplace_siftpca,0.00%,0.00%
ngransac,harrislaplace_surf,0.00%,0.00%
ransac,harrislaplace_openucn,0.00%,0.00%
ransac,harrislaplace_hardnet,0.00%,0.00%
ransac,harrislaplace_convopt,0.00%,0.00%
ransac,harrislaplace_brief,0.00%,0.00%
