Detector+Descriptor,UIF-UB (Essential Mat),PMR,Inlier Ratio
brief,0.09,0.65,0.23
BRISK,0.92,0.65,0.18
ContextDesc,0.98,0.58,0.38
D2-Net,0.89,0.5,0.32
dog_brief,0,0.48,0.03
dog_siftnet,0.82,0.49,0.22
dog_surf,0.03,0.04,0.2
DoG+ConvOpt,0.9,0.51,0.26
DoG+OpenUCN,0.97,1,0.22
DoG+PCA-SIFT,0.43,0.07,0.58
DoG+RootSIFT,0.89,0.49,0.29
DoG+SIFT,0.44,0.07,0.58
DoG+SpreadOutHardNet,0.91,0.51,0.36
DoG+TFeat,0.22,0.04,0.51
fast_brief,0.28,0.54,0.02
fast_surf,0.29,0.03,0.32
fast_tfeat,0.03,0.02,0.05
FAST+ConvOpt,0.96,0.52,0.36
FAST+OpenUCN,1,1,0.16
FAST+PCA-SIFT,0.19,0.01,0.48
FAST+RootSIFT,0.95,0.46,0.41
FAST+SIFT,0.19,0.01,0.5
FAST+SIFTNet,0.97,0.57,0.27
FAST+SpreadOutHardNet,0.96,0.55,0.44
glampoints_brief,0,0.57,0.02
glampoints_convopt,0.03,0.55,0.04
glampoints_hardnet,0.03,0.56,0.04
glampoints_openucn,0.02,1,0.02
glampoints_rootsift,0.03,0.53,0.04
glampoints_sift,0.01,0.09,0.05
glampoints_siftnet,0.01,0.57,0.03
glampoints_siftpca,0.01,0.09,0.05
glampoints_surf,0,0.06,0.03
glampoints_tfeat,0.01,0.12,0.04
harris_brief,0,0.53,0.02
harris_convopt,0.85,0.55,0.13
harris_surf,0,0.06,0.06
Harris+OpenUCN,0.93,1,0.1
Harris+PCA-SIFT,0.37,0.04,0.42
Harris+RootSIFT,0.87,0.55,0.16
Harris+SIFT,0.38,0.04,0.43
Harris+SIFTNet,0.87,0.48,0.18
Harris+SpreadOutHardNet,0.92,0.51,0.3
Harris+TFeat,0.38,0.03,0.6
harrislaplace_brief,0,0.53,0.02
harrislaplace_convopt,0.35,0.49,0.1
harrislaplace_hardnet,0.52,0.5,0.14
harrislaplace_openucn,0.39,0.99,0.05
harrislaplace_rootsift,0.31,0.38,0.12
harrislaplace_sift,0,0.01,0.19
harrislaplace_siftnet,0.28,0.57,0.08
harrislaplace_siftpca,0,0.01,0.18
harrislaplace_surf,0,0.03,0.09
harrislaplace_tfeat,0.01,0.02,0.23
harrisnet_brief,0,0.57,0.03
harrisnet_convopt,0.53,0.58,0.16
harrisnet_hardnet,0.87,0.56,0.35
harrisnet_openucn,0.66,1,0.1
harrisnet_rootsift,0.66,0.58,0.2
harrisnet_siftnet,0.67,0.57,0.21
harrisnet_surf,0,0.05,0.07
HarrisNet+PCA-SIFT,0.18,0.07,0.44
HarrisNet+SIFT,0.18,0.07,0.45
HarrisNet+TFeat,0.29,0.08,0.62
kaze,0,0.13,0.02
Key.Net+TFeat,0.11,0.04,0.5
keynet_brief,0,0.45,0.03
keynet_convopt,0.48,0.53,0.12
keynet_hardnet,0.8,0.46,0.34
keynet_openucn,0.77,0.93,0.14
keynet_rootsift,0.59,0.52,0.16
keynet_sift,0.06,0.06,0.27
keynet_siftnet,0.65,0.48,0.21
keynet_siftpca,0.06,0.06,0.27
keynet_surf,0,0.22,0.03
LF-Net,0.89,0.45,0.23
lift,0.06,0.51,0.14
mser_brief,0,0.33,0.05
mser_convopt,0.2,0.37,0.26
mser_hardnet,0.15,0.36,0.23
mser_openucn,0.36,1,0.15
mser_rootsift,0.17,0.3,0.27
mser_sift,0,0.04,0.19
mser_siftnet,0.04,0.3,0.16
mser_siftpca,0,0.04,0.18
mser_surf,0,0.05,0.25
mser_tfeat,0,0.04,0.21
orb,0.52,0.37,0.22
R2D2,0.92,0.48,0.32
SIFT,0.65,0.09,0.73
superpoint,0.48,0.63,0.35
surf_brief,0.01,0.52,0.02
surf_rootsift,0.83,0.41,0.26
surf_siftnet,0.83,0.55,0.21
SURF+ConvOpt,0.88,0.48,0.32
SURF+OpenUCN,0.95,1,0.16
SURF+PCA-SIFT,0.06,0.01,0.4
SURF+SIFT,0.07,0.01,0.4
SURF+SpreadOutHardNet,0.91,0.52,0.37
SURF+SURF,0.33,0.05,0.57
SURF+TFeat,0.26,0.04,0.56