Detector,Rep@150,Rep@300,Rep@600,Rep@1200,Rep@2400
BRIEF,0.47,0.47,0.47,0.47,0.47
BRISK,0.52,0.60,0.64,0.66,0.66
ContextDesc,0.57,0.64,0.68,0.68,0.68
D2-Net,0.57,0.63,0.68,0.68,0.68
DoG,0.51,0.60,0.66,0.66,0.66
FAST,0.54,0.61,0.66,0.70,0.72
GLAMPoints,0.55,0.55,0.55,0.55,0.55
Harris,0.58,0.65,0.72,0.73,0.73
Harris-Laplace,0.34,0.41,0.44,0.44,0.44
HarrisNet,0.61,0.68,0.68,0.68,0.68
KAZE,0.53,0.59,0.60,0.60,0.60
Key.Net,0.57,0.64,0.64,0.64,0.64
LF-Net,0.52,0.58,0.65,0.66,0.66
LIFT,0.56,0.56,0.56,0.56,0.56
MSER,0.33,0.35,0.35,0.35,0.35
ORB,0.43,0.51,0.51,0.51,0.51
R2D2,0.49,0.57,0.63,0.68,0.68
SuperPoint,0.59,0.59,0.59,0.59,0.59
SURF,0.57,0.64,0.69,0.69,0.69